sample,condition
SRR24053357,tumor
SRR24053358,normal
SRR24053359,tumor
SRR24053360,normal
SRR24053365,tumor
SRR24053366,normal
SRR24053367,tumor
SRR24053368,normal
SRR24053369,tumor
SRR24053370,normal
SRR24053371,tumor
SRR24053372,normal
SRR24053373,tumor
SRR24053374,normal
SRR24053375,tumor
SRR24053376,normal
SRR24053379,tumor
SRR24053380,normal
SRR24053381,tumor
SRR24053382,normal
SRR24053383,tumor
SRR24053384,normal
SRR24053385,tumor
SRR24053386,normal
SRR24053387,tumor
SRR24053388,normal
SRR24053389,tumor
SRR24053390,normal
SRR24053391,tumor
SRR24053392,normal
SRR24053393,tumor
SRR24053394,normal
