"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1","geneComp_00004325","CRTC1","CRTC1","normal","tumor",8.07927938775028e-34,TRUE,1
"3","geneComp_00004270","CRB3","CRB3","normal","tumor",1.59868908602525e-21,TRUE,2
"5","geneComp_00005110","DIXDC1","DIXDC1","normal","tumor",1.11714717834013e-20,TRUE,3
"6","geneComp_00000261","ACTL6A","ACTL6A","normal","tumor",2.5076674122862e-19,TRUE,4
"7","geneComp_00018300","HOMER2","HOMER2","normal","tumor",1.20906679717409e-16,TRUE,5
"9","geneComp_00015583","ERCC5","ERCC5","normal","tumor",3.64267279397832e-16,TRUE,6
"10","geneComp_00019510","KCNIP4","KCNIP4","normal","tumor",4.53504996966889e-16,TRUE,7
"12","geneComp_00035109","ZNF81","ZNF81","normal","tumor",8.31700956815941e-15,TRUE,8
"14","geneComp_00024549","OBSCN","OBSCN","normal","tumor",9.15818595228339e-15,TRUE,9
"17","geneComp_00022191","MAN1B1","MAN1B1","normal","tumor",1.66131991733144e-12,TRUE,10
"18","geneComp_00005498","DUSP15","DUSP15","normal","tumor",1.49984229619559e-11,TRUE,11
"20","geneComp_00022657","MIA2","MIA2","normal","tumor",4.47320164291123e-11,TRUE,12
"21","geneComp_00032966","TRIP10","TRIP10","normal","tumor",5.93140562841097e-11,TRUE,13
"24","geneComp_00019720","KIF5C","KIF5C","normal","tumor",7.29911749475094e-10,TRUE,14
"27","geneComp_00029443","SERPINF1","SERPINF1","normal","tumor",7.3637595025026e-10,TRUE,15
"30","geneComp_00017002","GFER","GFER","normal","tumor",7.57279234472273e-10,TRUE,16
"33","geneComp_00029956","SLC2A11","SLC2A11","normal","tumor",1.76743693215557e-09,TRUE,17
"35","geneComp_00020489","LINC00683","LINC00683","normal","tumor",3.82492451665947e-09,TRUE,18
"38","geneComp_00024373","NT5C2","NT5C2","normal","tumor",5.12074108244159e-09,TRUE,19
"42","geneComp_00003748","CKMT1A","CKMT1A","normal","tumor",1.51204911869182e-08,TRUE,20
"44","geneComp_00002985","CCND3","CCND3","normal","tumor",2.57865478364828e-08,TRUE,21
"46","geneComp_00004333","CRYAB","CRYAB","normal","tumor",4.7829512456473e-08,TRUE,22
"48","geneComp_00001200","ARHGEF2","ARHGEF2","normal","tumor",1.08164693232308e-07,TRUE,23
"50","geneComp_00002387","C4orf33","C4orf33","normal","tumor",1.72467414877883e-07,TRUE,24
"52","geneComp_00032674","TPST1","TPST1","normal","tumor",3.09974385668232e-07,TRUE,25
"54","geneComp_00016196","FBXO25","FBXO25","normal","tumor",4.91575927057976e-07,TRUE,26
"55","geneComp_00034551","ZNF114","ZNF114","normal","tumor",7.53425532511151e-07,TRUE,27
"56","geneComp_00017600","GSTM3","GSTM3","normal","tumor",7.62853533919376e-07,TRUE,28
"58","geneComp_00001289","ARMCX4","ARMCX4","normal","tumor",1.32968493322885e-06,TRUE,29
"59","geneComp_00004541","CUTA","CUTA","normal","tumor",1.39919374108012e-06,TRUE,30
"61","geneComp_00029471","SETD6","SETD6","normal","tumor",2.05391735343488e-06,TRUE,31
"63","geneComp_00017130","GLIS3","GLIS3","normal","tumor",2.57616989428673e-06,TRUE,32
