"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","combinedDIF","switchConsequencesGene","Rank"
"1","geneComp_00030882","RRM2","RRM2","normal","tumor",0.000246296336875117,1.27134285714286,TRUE,1
"2","geneComp_00026258","ODAD3","ODAD3","normal","tumor",0.0283812492700988,1.19592857142857,TRUE,2
"3","geneComp_00018283","GFER","GFER","normal","tumor",5.24575890440081e-10,1.12412857142857,TRUE,3
"4","geneComp_00030959","RTN4R","RTN4R","normal","tumor",0.000538602349768512,1.11137142857143,TRUE,4
"5","geneComp_00021881","LINC00683","LINC00683","normal","tumor",4.89940684593397e-10,0.966828571428571,TRUE,5
"6","geneComp_00004650","CXCL12","CXCL12","normal","tumor",0.000128250897323073,0.962914285714286,TRUE,6
"7","geneComp_00021072","KIF5C","KIF5C","normal","tumor",2.26613602892638e-09,0.959671428571429,TRUE,7
"8","geneComp_00026244","OBSCN","OBSCN","normal","tumor",1.42650142158459e-13,0.934442857142857,TRUE,8
"9","geneComp_00037295","ZNF93","ZNF93","normal","tumor",6.53591847457789e-06,0.9237,TRUE,9
"10","geneComp_00026603","ORC6","ORC6","normal","tumor",0.000701572217073646,0.896428571428572,TRUE,10
