"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1","geneComp_00004325","CRTC1","CRTC1","normal","tumor",8.07927938775028e-34,TRUE,1
"2","geneComp_00004270","CRB3","CRB3","normal","tumor",1.59868908602525e-21,TRUE,2
"3","geneComp_00005110","DIXDC1","DIXDC1","normal","tumor",1.11714717834013e-20,TRUE,3
"4","geneComp_00000261","ACTL6A","ACTL6A","normal","tumor",2.5076674122862e-19,TRUE,4
"5","geneComp_00018300","HOMER2","HOMER2","normal","tumor",1.20906679717409e-16,TRUE,5
"6","geneComp_00015583","ERCC5","ERCC5","normal","tumor",3.64267279397832e-16,TRUE,6
"7","geneComp_00019510","KCNIP4","KCNIP4","normal","tumor",4.53504996966889e-16,TRUE,7
"8","geneComp_00035109","ZNF81","ZNF81","normal","tumor",8.31700956815941e-15,TRUE,8
"9","geneComp_00024549","OBSCN","OBSCN","normal","tumor",9.15818595228339e-15,TRUE,9
"10","geneComp_00022191","MAN1B1","MAN1B1","normal","tumor",1.66131991733144e-12,TRUE,10
