Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias
SRR24053357_trans_quant	90.02431656009902	37.849992	ISR	100.0	1.400080118184683e-07
SRR24053358_trans_quant	90.78151967552047	33.031003	ISR	100.0	4.230691538750352e-07
SRR24053359_trans_quant	90.29617901247737	26.794043	ISR	100.0	1.139561660769815e-06
SRR24053360_trans_quant	91.70403268328164	35.888928	ISR	100.0	2.1090652354967993e-06
SRR24053367_trans_quant	93.6201927410951	33.139145	ISR	100.0	6.123620528176355e-08
SRR24053368_trans_quant	93.83435373326557	34.898216	ISR	100.0	2.8601388317225935e-06
SRR24053369_trans_quant	91.64550516253587	27.633169	ISR	100.0	1.5422237735850996e-06
SRR24053370_trans_quant	94.58071694968295	32.405232	ISR	100.0	4.183310923263326e-06
SRR24053371_trans_quant	93.94693128115476	27.48847	ISR	100.0	2.983817871588193e-06
SRR24053372_trans_quant	93.7987597319021	43.988008	ISR	100.0	1.0392668023518007e-06
SRR24053373_trans_quant	91.34459726692653	28.354566	ISR	100.0	4.3212858763956673e-07
SRR24053374_trans_quant	92.20540953959748	31.04113	ISR	100.0	2.5323726015964867e-06
SRR24053379_trans_quant	94.06795296504593	42.002007	ISR	100.0	6.515513510062052e-07
SRR24053380_trans_quant	94.02336084509065	36.858722	ISR	100.0	2.347714789664089e-06
