Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR24053357_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	251.8704657892863	93.2587179252929	False	False	4096	mapping	False	251955	0	837284	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42044187	37849992	0	100999	1487699	20619191	90.02431656009902	quant	Wed May 06 01:38:33 2026	Wed May 06 01:51:32 2026
SRR24053358_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	257.8737497390157	72.39870506499646	False	False	4096	mapping	False	251955	0	792496	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	36385162	33031003	0	78442	1332671	17563704	90.78151967552047	quant	Wed May 06 19:18:07 2026	Wed May 06 19:36:23 2026
SRR24053359_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	342.50627925276433	145.72958120509335	False	False	4096	mapping	False	251955	0	541127	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29673507	26794043	0	73170	743668	14795986	90.29617901247737	quant	Wed May 06 22:31:25 2026	Wed May 06 22:41:08 2026
SRR24053360_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	303.06236953023733	116.62462884000418	False	False	4096	mapping	False	251955	0	887082	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	39135605	35888928	0	120351	866165	19646567	91.70403268328164	quant	Wed May 06 21:27:38 2026	Wed May 06 21:40:59 2026
SRR24053367_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	304.1884828967456	124.46532884936863	False	False	4096	mapping	False	251955	0	740156	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	35397433	33139145	0	81973	630473	17486971	93.6201927410951	quant	Thu May 07 00:56:51 2026	Thu May 07 01:11:45 2026
SRR24053368_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	318.11212366214704	123.66083631119321	False	False	4096	mapping	False	251955	0	820169	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	37191300	34898216	0	109346	658379	17356387	93.83435373326557	quant	Wed May 06 23:49:08 2026	Thu May 07 00:01:26 2026
SRR24053369_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	293.6228100280536	127.81258766912492	False	False	4096	mapping	False	251955	0	640212	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	30152236	27633169	0	68335	783872	15136571	91.64550516253587	quant	Fri May 08 00:54:22 2026	Fri May 08 01:04:58 2026
SRR24053370_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	303.45765401570225	114.81747907291701	False	False	4096	mapping	False	251955	0	816614	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	34261986	32405232	0	95000	537716	15047332	94.58071694968295	quant	Fri May 08 02:00:07 2026	Fri May 08 02:15:30 2026
SRR24053371_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	341.98248998825716	144.14676228493178	False	False	4096	mapping	False	251955	0	530532	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29259572	27488470	0	64409	513773	12942968	93.94693128115476	quant	Fri May 08 18:45:18 2026	Fri May 08 19:00:17 2026
SRR24053372_trans_quant	1.10.3	none	vb	[]	1	['ISR']	1001	283.34368189164064	103.91558893604441	False	False	4096	mapping	False	251955	0	811374	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	46896151	43988008	0	134856	682695	21930816	93.7987597319021	quant	Fri May 08 20:55:32 2026	Fri May 08 21:13:25 2026
