UniqueCount	AmbigCount
0	16
0	2
0	540
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	62
0	3
0	3
0	9
0	7
0	26
1	0
4	101
0	6
0	6
147	21
0	15
0	55
5	16
0	0
4	17
0	0
0	0
0	2
8	598
0	219
0	195
0	167
0	107
0	85
84	30
0	0
0	36
0	0
0	0
0	0
0	0
0	2
1	0
0	1
0	11
4	12
0	7
25	0
0	80
0	50
0	65
2	43
0	25
3	17
3	13
0	24
0	14
7	7
0	24
1	22
1	7
0	9
0	29
0	16
0	0
0	1
0	1
0	0
1	163
0	8
0	3
0	4
0	0
1	0
3	2
0	1
0	0
1	9
0	1
0	0
0	3
0	1
0	1
0	7
0	0
0	0
3	2121
306	76982
10	129694
0	0
0	405
0	4
1687	32487
2	598
0	0
0	0
83	725
1	2
0	0
2	0
0	5
0	19
0	9
0	12
0	8
0	10
0	12
3	8
0	10
0	10
6	25
0	9
0	11
0	11
0	7
0	17
0	20
12	1
0	6
13	6
0	9
0	2
2	2
0	3
0	5
0	5
0	3
0	3
0	2
0	2
4	46
1	16
5	16
0	0
14	6
0	4
1	0
111	10
0	2
1	167
0	171
43	328
6	43
1	348
4	42
0	251
0	351
9	16
0	195
0	342
0	210
0	273
1	6
0	144
3	148
0	15
0	159
0	201
0	209
0	172
0	8
4	79
0	126
0	124
0	205
0	196
0	208
0	259
0	147
0	160
0	172
0	181
0	8
4	196
0	247
0	178
1	8
0	10
0	25
0	9
0	123
1	5
0	1
0	1
2	17
0	4
0	13
0	1
0	0
0	0
0	0
0	0
97	27
0	17
0	10
0	374
1	374
0	10
2	362
0	172
0	198
0	208
0	157
0	169
0	349
14	173
0	2
0	47
0	8
2	7
101	1056
8	351
23	841
0	0
43	359
4	10
57	21
2	4
2	17
4	1
19	41
1	37
2	40
0	0
0	5
0	1
0	1
1	1
0	0
6	0
0	23
10	18
7	11
1	4
0	217
0	125
508	219
0	0
1	0
0	2417
0	2200
0	2095
0	2312
0	10
0	69
0	27
0	2
3	13
10	655
0	2
2	6
0	6
0	1
1	6
0	6
0	6
0	6
0	6
0	5
0	1
0	0
0	0
1	0
0	91
0	69
4	87
0	93
11	68
0	84
3	96
0	10
0	67
0	21
0	28
0	31
0	10
1	8
0	13
0	7
0	6
1	5
1	0
1	1
0	0
0	0
0	0
0	0
3	0
0	0
0	3
0	3
0	2
0	0
1	1
0	0
0	0
0	0
0	35
12	64
6	28
0	40
1	75
0	90
0	88
0	137
2	111
2	110
1	53
0	121
0	45
0	57
0	82
0	95
4	75
0	9
94	2799
1	2569
1	2098
27	856
2	654
0	480
0	487
359	3
1	1
0	1
2	1
