#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000378891.9	671	0.37737	7.00872802734	1	1	coding
ENST00000378888.10	696	0.35707	7.69464111328	1	1	coding
ENST00000632445.1	161	0.3927	5.74517822266	1	0.969849	coding
ENST00000634054.1	214	0.40355	9.97918701172	-1	0.263803	noncoding
ENST00000472445.1	198	0.40887	6.70196533203	-1	0.175705	noncoding
ENST00000378733.9	174	0.35535	7.70697021484	1	0.906854	coding
ENST00000624426.1	113	0.36889	9.87884521484	1	0.315396	noncoding
ENST00000378531.8	498	0.41038	6.64483642578	1	1	coding
ENST00000606372.5	464	0.36117	7.32135009766	1	1	coding
ENST00000378529.7	351	0.369	6.05596923828	1	0.999999	coding
ENST00000469374.5	136	0.35025	8.79046630859	1	0.5	coding
ENST00000449373.2	178	0.3023	10.0621948242	1	0.537327	coding
ENST00000378525.2	201	0.34113	8.86480712891	1	0.9332	coding
ENST00000607031.1	117	0.30615	11.1653442383	1	0.137254	noncoding
ENST00000475812.1	106	0.36068	5.63775634766	1	0.40143	noncoding
ENST00000494279.2	70	0.30601	9.35882568359	1	0.0378462	noncoding
ENST00000493183.5	93	0.391	10.6436157227	1	0.209628	noncoding
ENST00000419916.8	229	0.38514	6.22564697266	1	0.999192	coding
ENST00000378427.6	184	0.37894	8.79632568359	1	0.951256	coding
ENST00000481683.5	57	0.36846	8.82843017578	1	0.0310385	noncoding
ENST00000484099.5	89	0.34609	11.3165893555	1	0.0973976	noncoding
ENST00000476686.1	84	0.3008	7.63592529297	1	0.0591292	noncoding
ENST00000471840.5	60	0.41001	9.48602294922	1	0.0623425	noncoding
ENST00000378412.8	780	0.44214	5.63739013672	1	1	coding
ENST00000502556.5	623	0.41568	5.90191650391	1	1	coding
ENST00000504800.5	612	0.44041	5.94610595703	1	1	coding
ENST00000491941.5	86	0.2987	5.75665283203	1	0.113892	noncoding
ENST00000464195.1	86	0.29637	5.75665283203	1	0.114398	noncoding
ENST00000469962.1	81	0.41392	4.53009033203	-1	0.0355722	noncoding
ENST00000509374.1	135	0.45082	4.92767333984	-1	0.111054	noncoding
ENST00000608083.5	339	0.46065	6.80426025391	1	1	coding
ENST00000361521.9	371	0.47753	6.83697509766	1	1	coding
ENST00000377842.7	330	0.45086	7.66522216797	1	0.999999	coding
ENST00000377855.6	381	0.45317	8.85467529297	1	1	coding
ENST00000377022.8	1760	0.45895	6.59478759766	1	1	coding
ENST00000478524.1	2	0.37852	5.27496337891	1	8.26345e-06	noncoding
ENST00000344008.5	1167	0.45893	8.43536376953	1	1	coding
ENST00000490176.1	40	0.40771	10.9161987305	1	0.0305193	noncoding
ENST00000496432.6	1031	0.4482	8.47625732422	1	1	coding
ENST00000472814.1	24	0.28593	9.38775634766	-1	0.181567	noncoding
ENST00000376692.9	212	0.44512	6.04840087891	1	0.999468	coding
ENST00000235310.7	212	0.46208	6.04840087891	1	0.999543	coding
ENST00000456915.2	277	0.43524	5.56744384766	1	0.999994	coding
ENST00000376667.7	212	0.44021	6.04840087891	1	0.999431	coding
ENST00000697274.1	176	0.41794	5.79376220703	-1	0.143671	noncoding
ENST00000375679.9	688	0.45608	8.20391845703	1	1	coding
ENST00000375667.7	518	0.47157	8.36151123047	1	1	coding
ENST00000684624.1	471	0.44784	8.12261962891	1	1	coding
ENST00000431772.1	108	0.44755	5.49688720703	1	0.725556	coding
ENST00000684650.1	30	0.41206	6.01104736328	1	0.00954823	noncoding
ENST00000375225.7	259	0.36558	9.02752685547	1	0.997661	coding
ENST00000375254.8	5184	0.46925	5.70184326172	1	1	coding
ENST00000375224.1	895	0.47183	5.22821044922	1	1	coding
ENST00000486515.1	53	0.43264	3.91998291016	1	0.148546	noncoding
ENST00000494503.1	161	0.47321	9.88079833984	-1	0.252522	noncoding
ENST00000425413.5	954	0.45902	5.17718505859	-1	0.999997	coding
ENST00000437367.5	99	0.34872	10.0459594727	1	0.155205	noncoding
ENST00000454117.2	111	0.31442	4.92376708984	1	0.450983	noncoding
ENST00000689840.1	107	0.36922	9.90557861328	1	0.26247	noncoding
ENST00000690463.2	45	0.35478	5.70880126953	1	0.016699	noncoding
ENST00000671509.2	111	0.33671	4.92376708984	1	0.5	coding
ENST00000703050.1	70	0.39188	4.44061279297	1	0.189539	noncoding
ENST00000518600.3	45	0.42524	5.70880126953	1	0.030244	noncoding
ENST00000335648.3	127	0.29328	9.34930419922	1	0.192282	noncoding
ENST00000427796.6	27	0.35218	8.49798583984	1	0.0063875	noncoding
ENST00000686609.2	27	0.38965	8.49798583984	1	0.00750671	noncoding
ENST00000664563.3	27	0.3292	8.49798583984	1	0.00625691	noncoding
ENST00000703077.1	28	0.32751	6.49066162109	1	0.00527099	noncoding
ENST00000652963.1	28	0.42129	6.49066162109	1	0.00815383	noncoding
ENST00000447961.1	11	0.33098	5.27252197266	1	0.00269655	noncoding
ENST00000687867.1	16	0.42493	3.79937744141	1	0.0139352	noncoding
ENST00000689374.1	16	0.37337	3.79937744141	1	0.00832175	noncoding
ENST00000373921.8	644	0.47064	5.76605224609	1	1	coding
ENST00000373925.5	261	0.45937	5.69464111328	1	0.999986	coding
ENST00000373927.7	124	0.39398	5.32733154297	1	0.81271	coding
ENST00000427466.1	133	0.41644	5.54681396484	-1	0.077541	noncoding
ENST00000442118.5	246	0.4279	8.21234130859	-1	0.320988	noncoding
ENST00000492877.1	164	0.31693	9.41033935547	1	0.566212	coding
ENST00000373857.8	343	0.34185	9.19549560547	1	0.99979	coding
ENST00000539896.1	343	0.34237	9.19549560547	1	0.999796	coding
ENST00000305392.3	343	0.41512	9.19549560547	1	0.999996	coding
ENST00000471683.6	195	0.43888	5.81634521484	1	0.998486	coding
ENST00000373824.9	162	0.39649	7.77838134766	1	0.932445	coding
ENST00000689843.1	162	0.38481	7.77838134766	1	0.912867	coding
ENST00000691050.1	80	0.41707	9.56341552734	1	0.174318	noncoding
ENST00000685312.1	200	0.42495	9.16510009766	1	0.993671	coding
ENST00000263974.4	162	0.35537	7.77838134766	1	0.837342	coding
ENST00000372070.7	326	0.4408	6.32281494141	1	1	coding
ENST00000621846.4	326	0.47361	6.32281494141	1	1	coding
ENST00000434299.5	147	0.44548	5.84283447266	-1	0.10832	noncoding
ENST00000351829.9	326	0.46038	6.32281494141	1	1	coding
ENST00000481885.5	140	0.43334	5.93231201172	-1	0.0907503	noncoding
ENST00000471651.1	120	0.38125	5.70574951172	1	0.679798	coding
ENST00000497973.5	144	0.44233	10.3932495117	1	0.909922	coding
ENST00000473038.5	132	0.39818	10.3970336914	1	0.644585	coding
ENST00000606395.1	79	0.4527	4.74920654297	1	0.367551	noncoding
ENST00000607656.5	75	0.4361	4.77874755859	-1	0.0364086	noncoding
ENST00000429784.2	72	0.41775	5.42645263672	1	0.163801	noncoding
ENST00000635606.3	17	0.45476	5.95831298828	1	0.00509477	noncoding
ENST00000692135.1	72	0.44965	5.42645263672	1	0.196699	noncoding
ENST00000455247.2	17	0.43232	5.95831298828	1	0.00476884	noncoding
ENST00000306052.12	964	0.36683	4.88043212891	1	1	coding
ENST00000661457.1	415	0.3828	5.71221923828	1	1	coding
ENST00000657047.1	144	0.44138	6.32037353516	1	0.945597	coding
ENST00000529670.6	87	0.46023	5.56231689453	1	0.388724	noncoding
ENST00000668071.1	499	0.40186	6.43878173828	1	1	coding
ENST00000653217.1	558	0.39814	6.26190185547	1	1	coding
ENST00000465675.6	558	0.4065	6.26190185547	1	1	coding
ENST00000658404.1	458	0.39071	5.79132080078	1	1	coding
ENST00000354412.7	701	0.39744	4.84356689453	1	1	coding
ENST00000659993.1	889	0.34994	4.94598388672	1	1	coding
ENST00000460214.6	85	0.46027	9.68817138672	-1	0.107507	noncoding
ENST00000678696.1	332	0.42026	8.89837646484	1	0.999995	coding
ENST00000371222.4	332	0.41749	8.89837646484	1	0.999995	coding
ENST00000634495.2	305	0.35879	8.13128662109	1	0.999832	coding
ENST00000454575.6	2130	0.49491	6.36932373047	1	1	coding
ENST00000340370.10	2110	0.50731	6.34124755859	1	1	coding
ENST00000637255.1	1188	0.48146	6.34661865234	1	1	coding
ENST00000635123.1	2099	0.48315	6.36883544922	1	1	coding
ENST00000634652.1	217	0.4666	7.97259521484	-1	0.292741	noncoding
ENST00000404627.3	633	0.49239	5.84027099609	1	1	coding
ENST00000464312.1	166	0.39983	10.2223510742	-1	0.209425	noncoding
ENST00000636635.1	23	0.40182	9.30023193359	1	0.00857986	noncoding
ENST00000371059.7	959	0.43855	8.03570556641	1	1	coding
ENST00000371060.7	897	0.32143	7.44525146484	1	1	coding
ENST00000349533.11	1166	0.36749	6.08526611328	1	1	coding
ENST00000616738.4	897	0.35505	7.44525146484	1	1	coding
ENST00000471762.1	107	0.35044	9.60931396484	1	0.208691	noncoding
ENST00000557284.7	950	0.48018	6.49334716797	1	1	coding
ENST00000370899.7	844	0.50547	6.71160888672	1	1	coding
