# SignalP-6.0	Organism: Eukarya	Timestamp: 20260627170026
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ENST00000006777.11	OTHER	1.000000	0.000004	
ENST00000007510.9	OTHER	1.000000	0.000001	
ENST00000007708.7	OTHER	1.000000	0.000000	
ENST00000011684.11	OTHER	1.000000	0.000002	
ENST00000013807.9	OTHER	1.000000	0.000000	
ENST00000052754.10	SP	0.000265	0.999699	CS pos: 16-17. Pr: 0.9819
ENST00000160262.10	SP	0.000240	0.999738	CS pos: 29-30. Pr: 0.9774
ENST00000161559.11	SP	0.000278	0.999671	CS pos: 34-35. Pr: 0.9657
ENST00000199320.9	OTHER	1.000000	0.000000	
ENST00000215555.7	OTHER	1.000000	0.000000	
ENST00000215829.8	OTHER	1.000000	0.000000	
ENST00000215917.11	OTHER	1.000000	0.000000	
ENST00000215941.9	OTHER	1.000000	0.000003	
ENST00000216061.9	OTHER	1.000000	0.000000	
ENST00000217109.9	OTHER	1.000000	0.000000	
ENST00000217182.6	OTHER	1.000000	0.000000	
ENST00000217961.5	SP	0.000226	0.999726	CS pos: 18-19. Pr: 0.9757
ENST00000219097.7	OTHER	1.000000	0.000000	
ENST00000219481.10	OTHER	1.000000	0.000000	
ENST00000220584.9	OTHER	1.000000	0.000000	
ENST00000222122.10	OTHER	1.000000	0.000000	
ENST00000222305.8	OTHER	1.000000	0.000000	
ENST00000222803.10	SP	0.000231	0.999747	CS pos: 20-21. Pr: 0.6881
ENST00000223061.6	SP	0.002237	0.997706	CS pos: 25-26. Pr: 0.9424
ENST00000223190.8	OTHER	1.000000	0.000001	
ENST00000223210.5	OTHER	1.000000	0.000000	
ENST00000223795.3	OTHER	1.000000	0.000016	
ENST00000225609.10	OTHER	1.000000	0.000000	
ENST00000225916.10	OTHER	0.997922	0.002121	
ENST00000226105.11	OTHER	1.000000	0.000000	
ENST00000226253.9	OTHER	1.000000	0.000001	
ENST00000227135.7	OTHER	1.000000	0.000000	
ENST00000227349.7	OTHER	1.000000	0.000000	
ENST00000228705.7	OTHER	0.999998	0.000051	
ENST00000231004.5	SP	0.000194	0.999768	CS pos: 21-22. Pr: 0.9706
