Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENST00000568830.1,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.8116000294685364,0.5892000198364258,0.211899995803833,0.10949999839067459,0.5142999887466431,0.002400000113993883,0.26089999079704285,0.1200999990105629,0.2985000014305115,0.0843999981880188
ENST00000569524.5,Nucleus,,0.43880000710487366,0.531499981880188,0.21639999747276306,0.09719999879598618,0.4381999969482422,0.02250000089406967,0.038600001484155655,0.05490000173449516,0.05939999967813492,0.06790000200271606
ENST00000569842.5,Cytoplasm|Nucleus,Nuclear export signal,0.49639999866485596,0.5343999862670898,0.08590000122785568,0.16380000114440918,0.14569999277591705,0.020400000736117363,0.3073999881744385,0.35740000009536743,0.34880000352859497,0.03420000150799751
ENST00000569863.5,Cytoplasm|Nucleus,,0.5625,0.5239999890327454,0.06870000064373016,0.13109999895095825,0.2928999960422516,0.008299999870359898,0.23260000348091125,0.10840000212192535,0.23890000581741333,0.15809999406337738
ENST00000570143.5,Nucleus,,0.43880000710487366,0.531499981880188,0.21639999747276306,0.09719999879598618,0.4381999969482422,0.02250000089406967,0.038600001484155655,0.05490000173449516,0.05939999967813492,0.06790000200271606
ENST00000570833.5,Cytoplasm,,0.5723999738693237,0.2053000032901764,0.2476000040769577,0.3257000148296356,0.3199999928474426,0.036400001496076584,0.11240000277757645,0.20010000467300415,0.04230000078678131,0.007699999958276749
ENST00000570856.1,Nucleus,Nuclear localization signal,0.3919999897480011,0.6543999910354614,0.17630000412464142,0.21060000360012054,0.017100000753998756,0.007000000216066837,0.08739999681711197,0.23319999873638153,0.18209999799728394,0.07069999724626541
ENST00000571253.1,Nucleus,,0.4327999949455261,0.6841999888420105,0.12630000710487366,0.1200999990105629,0.4943999946117401,0.0027000000700354576,0.24950000643730164,0.07680000364780426,0.09769999980926514,0.07180000096559525
ENST00000571360.5,Extracellular,Signal peptide,0.07320000231266022,0.03519999980926514,0.8698999881744385,0.24459999799728394,0.04500000178813934,0.0005000000237487257,0.17389999330043793,0.3248000144958496,0.16140000522136688,0.0006000000284984708
ENST00000571418.7,Cytoplasm|Nucleus,Nuclear export signal,0.6837000250816345,0.5324000120162964,0.049300000071525574,0.12229999899864197,0.4343000054359436,0.0010999999940395355,0.16089999675750732,0.1281999945640564,0.2199999988079071,0.04520000144839287
ENST00000572048.1,Cytoplasm|Extracellular,,0.6053000092506409,0.21170000731945038,0.6345000267028809,0.1216999962925911,0.5067999958992004,0.010999999940395355,0.4032999873161316,0.1517000049352646,0.08990000188350677,0.2547000050544739
ENST00000572647.5,Nucleus,,0.4268999993801117,0.6262999773025513,0.23469999432563782,0.10279999673366547,0.11110000312328339,0.001500000013038516,0.05990000069141388,0.21950000524520874,0.12720000743865967,0.00570000009611249
ENST00000573078.5,Cytoplasm,,0.4681999981403351,0.4350999891757965,0.0843999981880188,0.2094999998807907,0.2517000138759613,0.014600000344216824,0.04129999876022339,0.023399999365210533,0.02800000086426735,0.41499999165534973
ENST00000573478.5,Cytoplasm|Nucleus,Nuclear localization signal,0.6590999960899353,0.5198000073432922,0.05530000105500221,0.1200999990105629,0.12630000710487366,0.028300000354647636,0.18070000410079956,0.09470000118017197,0.10670000314712524,0.08590000122785568
ENST00000573759.1,Nucleus,,0.46470001339912415,0.8041999936103821,0.013100000098347664,0.028699999675154686,0.2361000031232834,0.021199999377131462,0.07599999755620956,0.09229999780654907,0.1046999990940094,0.13510000705718994
ENST00000573763.1,Extracellular,Peroxisomal targeting signal,0.40119999647140503,0.2257000058889389,0.6396999955177307,0.2011999934911728,0.25679999589920044,0.41429999470710754,0.10949999839067459,0.19460000097751617,0.08910000324249268,0.45320001244544983
ENST00000573928.1,Cytoplasm,Nuclear localization signal,0.6797999739646912,0.4788999855518341,0.11150000244379044,0.24369999766349792,0.2655999958515167,0.0038999998942017555,0.2289000004529953,0.22709999978542328,0.1673000007867813,0.01759999990463257
ENST00000574099.1,Nucleus,Peroxisomal targeting signal,0.382999986410141,0.7652000188827515,0.5497999787330627,0.030899999663233757,0.3898000121116638,0.015799999237060547,0.2345999926328659,0.16500000655651093,0.19329999387264252,0.2815999984741211
ENST00000574575.2,Nucleus,Nuclear localization signal,0.38749998807907104,0.9355000257492065,0.13300000131130219,0.10580000281333923,0.04529999941587448,0.004900000058114529,0.020500000566244125,0.03420000150799751,0.026599999517202377,0.00559999980032444
ENST00000575061.2,Cytoplasm|Nucleus,Nuclear localization signal,0.6502000093460083,0.5343000292778015,0.10419999808073044,0.37689998745918274,0.186599999666214,0.010099999606609344,0.17080000042915344,0.19419999420642853,0.19429999589920044,0.019999999552965164
