"","gene_name","isoform_id","dIF","isoform_switch_q_value","domain_identified","idr_identified","signal_peptide_identified","PTC","sub_cell_location","switchConsequencesGene"
"1","LAMA2","ENST00000617695.5",0.197025,1.08113829597649e-31,"yes","no","yes",FALSE,"Extracellular",TRUE
"2","LSP1","ENST00000311604.8",0.3860125,5.27378446433615e-20,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"3","MAD2L2","ENST00000376692.9",-0.3310625,7.11890544419874e-19,"yes","no","no",FALSE,"Cytoplasm",TRUE
"4","MBD6","ENST00000547545.1",-0.18565625,6.82241168720433e-14,"no","yes","no",TRUE,"Nucleus",TRUE
"5","MPZ","ENST00000533357.5",-0.3934,8.75590716884938e-14,"yes","no","yes",FALSE,"Cell_membrane",TRUE
"6","PEX19","ENST00000472750.5",-0.1880375,3.10726218213219e-13,"no","no","no",TRUE,"Cytoplasm",TRUE
"7","VAPB","ENST00000475243.6",-0.205925,1.02926706891829e-11,"yes","yes","no",FALSE,"Endoplasmic_reticulum",TRUE
"8","FBLN2","ENST00000295760.11",0.36149375,3.93612534927646e-11,"yes","yes","yes",FALSE,"Extracellular",TRUE
"9","FBLN2","ENST00000404922.8",-0.36070625,3.93612534927646e-11,"yes","yes","yes",FALSE,"Extracellular",TRUE
"10","CXCL12","ENST00000343575.11",-0.334125,4.30844515435351e-11,"yes","no","yes",FALSE,"Extracellular",TRUE
"11","MLLT1","ENST00000252674.9",0.2785875,2.1830426760896e-10,"yes","yes","no",FALSE,"Nucleus",TRUE
"12","MFSD5","ENST00000329548.5",-0.11575,4.38907423074738e-10,"yes","no","no",FALSE,"Endoplasmic_reticulum",TRUE
"13","RPUSD3","ENST00000433972.2",-0.18248125,8.66544409817847e-10,"no","yes","no",FALSE,"Mitochondrion",TRUE
"14","PRDM11","ENST00000534751.3",0.1267375,1.54439291758038e-09,"yes","yes","no",FALSE,"Nucleus",TRUE
"15","SYNPO2","ENST00000627783.2",0.150775,1.68304858022217e-09,"no","yes","no",FALSE,"Cytoplasm",TRUE
"16","ERCC1","ENST00000300853.8",-0.11998125,2.05869683738877e-09,"yes","yes","no",FALSE,"Nucleus",TRUE
"17","MYO10","ENST00000513610.6",-0.21591875,4.07135435331985e-09,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"18","APOD","ENST00000343267.8",-0.387324166666667,5.27464483254746e-09,"yes","no","yes",FALSE,"Extracellular",TRUE
"19","ODAD3","ENST00000356392.9",-0.57083125,5.38511920077266e-09,"no","yes","no",FALSE,"Cytoplasm",TRUE
"20","MTURN","ENST00000324453.13",-0.1658,1.49526912887405e-08,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"21","TMED4","ENST00000481238.1",-0.22916875,2.41512504178507e-08,"yes","no","yes",FALSE,"Endoplasmic_reticulum",TRUE
"22","POLR3H","ENST00000407461.5",0.11155625,2.47135578994527e-08,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"23","PCOLCE","ENST00000223061.6",-0.34031875,2.5087794619359e-08,"yes","yes","yes",FALSE,"Extracellular",TRUE
"24","CFH","ENST00000630130.2",-0.22366875,2.57372564558889e-08,"yes","no","yes",FALSE,"Extracellular",TRUE
"25","GSN","ENST00000432226.7",0.28150625,3.18215990318876e-08,"yes","yes","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"26","MDK","ENST00000395566.9",0.1736,4.32284918968716e-08,"yes","no","yes",FALSE,"Extracellular",TRUE
"27","DIPK2B","ENST00000398000.7",-0.1092625,8.06085050089968e-08,"yes","no","yes",FALSE,"Extracellular",TRUE
"28","SLC12A8","ENST00000469902.6",0.36109375,9.08958516434453e-08,"yes","yes","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"29","CA13","ENST00000321764.4",0.243225,9.08958516434453e-08,"yes","no","no",FALSE,"Cytoplasm",TRUE
