# SignalP-6.0	Organism: Eukarya	Timestamp: 20260513185855
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ENST00000000442.11	OTHER	1.000000	0.000002	
ENST00000004531.14	OTHER	1.000000	0.000000	
ENST00000012134.7	OTHER	1.000000	0.000007	
ENST00000013807.9	OTHER	1.000000	0.000000	
ENST00000043402.8	SP	0.000246	0.999728	CS pos: 26-27. Pr: 0.9264
ENST00000160827.9	OTHER	1.000000	0.000000	
ENST00000161006.8	SP	0.033211	0.966764	CS pos: 32-33. Pr: 0.9265
ENST00000171111.10	OTHER	1.000000	0.000006	
ENST00000175506.8	OTHER	1.000000	0.000005	
ENST00000187879.12	OTHER	1.000000	0.000000	
ENST00000205557.12	OTHER	1.000000	0.000008	
ENST00000215375.7	OTHER	1.000000	0.000012	
ENST00000215659.13	OTHER	1.000000	0.000000	
ENST00000215941.9	OTHER	1.000000	0.000003	
ENST00000215956.10	OTHER	1.000000	0.000000	
ENST00000215957.10	OTHER	1.000000	0.000000	
ENST00000216061.9	OTHER	1.000000	0.000000	
ENST00000217233.9	OTHER	1.000000	0.000000	
ENST00000218516.4	SP	0.000217	0.999754	CS pos: 31-32. Pr: 0.9595
ENST00000219097.7	OTHER	1.000000	0.000000	
ENST00000219315.9	OTHER	1.000000	0.000000	
ENST00000220584.9	OTHER	1.000000	0.000000	
ENST00000220822.12	OTHER	1.000000	0.000000	
ENST00000221466.10	SP	0.000251	0.999731	CS pos: 23-24. Pr: 0.9795
ENST00000221922.11	OTHER	1.000000	0.000000	
ENST00000222122.10	OTHER	1.000000	0.000000	
ENST00000222305.8	OTHER	1.000000	0.000000	
ENST00000222330.8	OTHER	0.999972	0.000077	
ENST00000222673.6	OTHER	1.000000	0.000000	
ENST00000223061.6	SP	0.002237	0.997706	CS pos: 25-26. Pr: 0.9424
ENST00000224140.6	OTHER	1.000000	0.000000	
ENST00000225308.12	OTHER	0.999953	0.000068	
ENST00000226253.9	OTHER	1.000000	0.000001	
ENST00000227349.7	OTHER	1.000000	0.000000	
ENST00000228705.7	OTHER	0.999998	0.000051	
ENST00000229854.12	OTHER	1.000000	0.000001	
ENST00000230771.9	OTHER	1.000000	0.000001	
ENST00000230901.9	OTHER	1.000000	0.000000	
ENST00000231198.12	OTHER	1.000000	0.000000	
ENST00000231498.8	OTHER	1.000000	0.000000	
ENST00000232458.9	OTHER	1.000000	0.000001	
ENST00000233330.6	OTHER	1.000000	0.000000	
ENST00000234179.8	OTHER	0.999930	0.000087	
ENST00000234256.4	OTHER	0.999932	0.000070	
ENST00000235310.7	OTHER	1.000000	0.000000	
ENST00000236671.7	SP	0.000274	0.999690	CS pos: 20-21. Pr: 0.9747
ENST00000237380.12	OTHER	1.000000	0.000000	
ENST00000237512.4	OTHER	1.000000	0.000000	
ENST00000238181.11	OTHER	1.000000	0.000000	
ENST00000238831.9	OTHER	1.000000	0.000001	
ENST00000240499.8	OTHER	1.000000	0.000000	
ENST00000242591.10	OTHER	1.000000	0.000000	
ENST00000243050.5	OTHER	1.000000	0.000000	
ENST00000244776.11	OTHER	1.000000	0.000001	
ENST00000244777.6	OTHER	1.000000	0.000000	
ENST00000246043.8	OTHER	1.000000	0.000000	
ENST00000246314.10	OTHER	1.000000	0.000000	
ENST00000247655.4	OTHER	0.999932	0.000057	
ENST00000248070.10	OTHER	1.000000	0.000000	
ENST00000248089.8	OTHER	1.000000	0.000000	
ENST00000248114.7	OTHER	1.000000	0.000001	
ENST00000250076.8	OTHER	1.000000	0.000001	
ENST00000251334.7	OTHER	1.000000	0.000000	
ENST00000251607.11	OTHER	1.000000	0.000000	
ENST00000252674.9	OTHER	1.000000	0.000000	
ENST00000252818.5	OTHER	1.000000	0.000000	
ENST00000253107.12	OTHER	1.000000	0.000000	
ENST00000253778.13	OTHER	1.000000	0.000000	
ENST00000254722.9	SP	0.000312	0.999669	CS pos: 19-20. Pr: 0.9621
ENST00000255006.12	OTHER	1.000000	0.000000	
ENST00000255189.8	OTHER	1.000000	0.000000	
ENST00000255390.10	OTHER	1.000000	0.000000	
ENST00000255486.8	OTHER	1.000000	0.000000	
ENST00000255495.7	OTHER	1.000000	0.000001	
ENST00000255557.8	OTHER	1.000000	0.000000	
ENST00000255674.11	OTHER	1.000000	0.000000	
ENST00000255830.7	OTHER	1.000000	0.000000	
ENST00000256078.10	OTHER	1.000000	0.000000	
ENST00000256594.7	OTHER	1.000000	0.000000	
ENST00000256720.6	OTHER	1.000000	0.000000	
ENST00000256969.7	SP	0.000227	0.999761	CS pos: 26-27. Pr: 0.9761
ENST00000257181.10	OTHER	1.000000	0.000000	
ENST00000257829.8	OTHER	1.000000	0.000000	
ENST00000258457.7	OTHER	1.000000	0.000001	
