# SignalP-5.0	Organism: Eukarya	Timestamp: 20260624191645
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000005259.9	OTHER	0.001783	0.998217	
ENST00000006777.11	OTHER	0.102813	0.897187	
ENST00000011684.11	OTHER	0.001489	0.998511	
ENST00000013807.9	OTHER	0.001468	0.998532	
ENST00000052754.10	SP(Sec/SPI)	0.998844	0.001156	CS pos: 16-17. SWA-GP. Pr: 0.9625
ENST00000160262.10	SP(Sec/SPI)	0.996757	0.003243	CS pos: 29-30. VQG-QE. Pr: 0.9934
ENST00000161559.11	SP(Sec/SPI)	0.973301	0.026699	CS pos: 34-35. TTA-QL. Pr: 0.9220
ENST00000165698.9	OTHER	0.013113	0.986887	
ENST00000166139.9	SP(Sec/SPI)	0.962145	0.037855	CS pos: 26-27. VSS-MG. Pr: 0.3281
ENST00000199320.9	OTHER	0.001763	0.998237	
ENST00000215375.7	OTHER	0.006379	0.993621	
ENST00000215555.7	OTHER	0.002632	0.997368	
ENST00000215730.12	OTHER	0.000518	0.999482	
ENST00000215829.8	OTHER	0.002361	0.997639	
ENST00000215917.11	OTHER	0.003820	0.996180	
ENST00000215941.9	OTHER	0.002959	0.997041	
ENST00000216061.9	OTHER	0.000505	0.999495	
ENST00000217109.9	OTHER	0.004033	0.995967	
ENST00000219097.7	OTHER	0.001343	0.998657	
ENST00000220669.10	OTHER	0.001087	0.998913	
ENST00000222122.10	OTHER	0.001488	0.998512	
ENST00000222305.8	OTHER	0.002118	0.997882	
ENST00000222330.8	OTHER	0.002643	0.997357	
ENST00000222803.10	SP(Sec/SPI)	0.983970	0.016030	CS pos: 20-21. IGA-LI. Pr: 0.7309
ENST00000223190.8	OTHER	0.000921	0.999079	
ENST00000223210.5	OTHER	0.000475	0.999525	
ENST00000223795.3	OTHER	0.000341	0.999659	
ENST00000225916.10	OTHER	0.005792	0.994208	
ENST00000227135.7	OTHER	0.000618	0.999382	
ENST00000227349.7	OTHER	0.000406	0.999594	
ENST00000228705.7	OTHER	0.018632	0.981368	
ENST00000229583.9	OTHER	0.086814	0.913186	
ENST00000231004.5	SP(Sec/SPI)	0.993010	0.006990	CS pos: 21-22. VHC-AP. Pr: 0.7012
ENST00000231198.12	OTHER	0.001385	0.998615	
ENST00000231751.9	SP(Sec/SPI)	0.997125	0.002875	CS pos: 19-20. CLA-GR. Pr: 0.8676
ENST00000232458.9	OTHER	0.000376	0.999624	
ENST00000234256.4	OTHER	0.006497	0.993503	
ENST00000235310.7	OTHER	0.000910	0.999090	
ENST00000238892.4	OTHER	0.003674	0.996326	
ENST00000238936.8	OTHER	0.012076	0.987924	
ENST00000242591.10	OTHER	0.000317	0.999683	
ENST00000242729.7	OTHER	0.005702	0.994298	
ENST00000243050.5	OTHER	0.003353	0.996647	
ENST00000243112.9	OTHER	0.008203	0.991797	
ENST00000244020.5	OTHER	0.000687	0.999313	
ENST00000245451.9	SP(Sec/SPI)	0.984784	0.015216	CS pos: 24-25. SHA-SL. Pr: 0.8540
ENST00000246174.6	OTHER	0.002326	0.997674	
ENST00000248114.7	OTHER	0.000742	0.999258	
ENST00000250173.5	OTHER	0.000402	0.999598	
ENST00000251993.11	OTHER	0.003475	0.996525	
ENST00000252674.9	OTHER	0.000977	0.999023	
ENST00000254722.9	SP(Sec/SPI)	0.998541	0.001459	CS pos: 19-20. SSC-QN. Pr: 0.7586
ENST00000255189.8	OTHER	0.019695	0.980305	
ENST00000256178.8	SP(Sec/SPI)	0.884088	0.115912	CS pos: 23-24. VQG-SL. Pr: 0.6346
ENST00000256996.9	OTHER	0.001391	0.998609	
ENST00000257637.8	OTHER	0.000555	0.999445	
ENST00000258457.7	OTHER	0.000652	0.999348	
ENST00000261458.8	OTHER	0.040262	0.959738	
ENST00000261534.9	OTHER	0.026547	0.973453	
ENST00000261755.9	OTHER	0.000918	0.999082	
ENST00000262722.11	SP(Sec/SPI)	0.999060	0.000940	CS pos: 29-30. VDA-DV. Pr: 0.9508
ENST00000262726.12	OTHER	0.000202	0.999798	
ENST00000262765.10	OTHER	0.000930	0.999070	
ENST00000263056.6	OTHER	0.000378	0.999622	
ENST00000263688.4	SP(Sec/SPI)	0.787657	0.212343	CS pos: 26-27. SWR-VC. Pr: 0.3796
ENST00000263974.4	OTHER	0.000819	0.999181	
ENST00000263991.9	OTHER	0.000525	0.999475	
ENST00000264343.4	OTHER	0.000509	0.999491	
ENST00000264644.10	OTHER	0.034275	0.965725	
ENST00000264904.8	OTHER	0.001977	0.998023	
ENST00000265382.8	OTHER	0.001505	0.998495	
ENST00000266304.9	OTHER	0.000753	0.999247	
ENST00000266718.5	SP(Sec/SPI)	0.996261	0.003739	CS pos: 18-19. TSG-QY. Pr: 0.9581
ENST00000266736.7	OTHER	0.000720	0.999280	
ENST00000267101.8	SP(Sec/SPI)	0.948293	0.051707	CS pos: 19-20. ARG-SE. Pr: 0.7467
ENST00000267383.5	SP(Sec/SPI)	0.727671	0.272329	CS pos: 19-20. CMG-RL. Pr: 0.2738
ENST00000269095.9	OTHER	0.000355	0.999645	
ENST00000269305.9	OTHER	0.000840	0.999160	
ENST00000269318.9	OTHER	0.000740	0.999260	
ENST00000269932.10	OTHER	0.001193	0.998807	
ENST00000270139.8	SP(Sec/SPI)	0.768211	0.231789	CS pos: 22-23. VLS-AA. Pr: 0.2416
ENST00000271450.12	SP(Sec/SPI)	0.933193	0.066807	CS pos: 35-36. SQA-AA. Pr: 0.5204
ENST00000271651.8	SP(Sec/SPI)	0.716143	0.283857	CS pos: 15-16. SFA-LY. Pr: 0.5036
ENST00000272203.8	OTHER	0.000811	0.999189	
ENST00000273691.7	SP(Sec/SPI)	0.851922	0.148078	CS pos: 23-24. CLS-LL. Pr: 0.5559
ENST00000276185.9	OTHER	0.000267	0.999733	
ENST00000278070.7	OTHER	0.003756	0.996244	
ENST00000278198.2	SP(Sec/SPI)	0.634583	0.365417	CS pos: 44-45. VRA-QT. Pr: 0.5712
ENST00000278224.13	OTHER	0.001939	0.998061	
ENST00000278919.8	OTHER	0.000257	0.999743	
ENST00000279804.3	OTHER	0.000801	0.999199	
ENST00000281419.8	OTHER	0.000489	0.999511	
ENST00000281772.14	OTHER	0.001969	0.998031	
ENST00000282041.11	OTHER	0.000453	0.999547	
ENST00000283297.5	OTHER	0.001196	0.998804	
ENST00000284073.7	OTHER	0.002510	0.997490	
ENST00000284292.11	OTHER	0.001584	0.998416	
ENST00000284440.9	OTHER	0.000514	0.999486	
ENST00000284509.11	OTHER	0.001213	0.998787	
ENST00000286648.10	OTHER	0.000477	0.999523	
ENST00000286918.9	OTHER	0.001713	0.998287	
ENST00000287713.7	OTHER	0.026295	0.973705	
ENST00000287908.7	OTHER	0.000964	0.999036	
ENST00000288840.10	OTHER	0.001743	0.998257	
ENST00000289269.7	SP(Sec/SPI)	0.853361	0.146639	CS pos: 42-43. AAS-QL. Pr: 0.6117
ENST00000289577.9	SP(Sec/SPI)	0.955163	0.044837	CS pos: 29-30. AQG-LY. Pr: 0.8996
ENST00000289989.10	OTHER	0.005012	0.994988	
ENST00000290317.9	OTHER	0.052689	0.947311	
ENST00000291547.10	OTHER	0.003682	0.996318	
ENST00000291565.9	OTHER	0.000641	0.999359	
ENST00000291825.11	OTHER	0.000805	0.999195	
ENST00000293217.10	OTHER	0.000930	0.999070	
ENST00000293525.5	OTHER	0.004840	0.995160	
ENST00000294868.8	OTHER	0.001500	0.998500	
ENST00000295297.4	SP(Sec/SPI)	0.938701	0.061299	CS pos: 23-24. ASG-QP. Pr: 0.6513
ENST00000295461.10	OTHER	0.005521	0.994479	
ENST00000295760.11	SP(Sec/SPI)	0.999239	0.000761	CS pos: 27-28. AAA-AP. Pr: 0.4288
ENST00000295920.7	OTHER	0.000909	0.999091	
ENST00000296350.10	SP(Sec/SPI)	0.987433	0.012567	CS pos: 19-20. VLG-GM. Pr: 0.7457
ENST00000296351.8	SP(Sec/SPI)	0.987433	0.012567	CS pos: 19-20. VLG-GM. Pr: 0.7457
ENST00000298630.8	OTHER	0.003662	0.996338	
ENST00000298912.9	OTHER	0.000716	0.999284	
ENST00000298966.7	OTHER	0.000436	0.999564	
ENST00000299237.3	OTHER	0.002121	0.997879	
ENST00000299578.10	OTHER	0.000668	0.999332	
ENST00000299927.4	OTHER	0.001338	0.998662	
ENST00000300035.9	OTHER	0.000733	0.999267	
ENST00000300036.6	OTHER	0.000346	0.999654	
ENST00000300249.10	OTHER	0.001092	0.998908	
ENST00000300619.12	OTHER	0.001248	0.998752	
ENST00000300853.8	OTHER	0.001468	0.998532	
ENST00000301242.9	OTHER	0.000276	0.999724	
ENST00000301318.8	OTHER	0.001311	0.998689	
ENST00000301608.9	OTHER	0.000930	0.999070	
ENST00000301686.13	OTHER	0.001937	0.998063	
ENST00000301897.5	OTHER	0.003497	0.996503	
ENST00000302345.6	OTHER	0.000785	0.999215	
ENST00000302490.12	OTHER	0.000668	0.999332	
ENST00000303375.10	SP(Sec/SPI)	0.922522	0.077478	CS pos: 33-34. GAP-GD. Pr: 0.2135
ENST00000303843.7	OTHER	0.028832	0.971168	
ENST00000303887.10	OTHER	0.000413	0.999587	
ENST00000304004.7	OTHER	0.000968	0.999032	
ENST00000304581.8	OTHER	0.001049	0.998951	
ENST00000304685.8	OTHER	0.000420	0.999580	
ENST00000305046.13	OTHER	0.001430	0.998570	
ENST00000305108.10	OTHER	0.000567	0.999433	
ENST00000305531.3	SP(Sec/SPI)	0.642175	0.357825	CS pos: 18-19. ASA-LQ. Pr: 0.4054
ENST00000306052.12	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000307142.9	OTHER	0.005720	0.994280	
ENST00000307257.10	OTHER	0.000406	0.999594	
ENST00000307360.6	SP(Sec/SPI)	0.954788	0.045212	CS pos: 27-28. VGS-GQ. Pr: 0.5344
ENST00000307650.9	OTHER	0.001740	0.998260	
ENST00000307671.12	OTHER	0.000480	0.999520	
ENST00000308527.6	OTHER	0.000578	0.999422	
ENST00000308659.12	OTHER	0.002880	0.997120	
ENST00000309263.7	SP(Sec/SPI)	0.978303	0.021697	CS pos: 31-32. AGA-VP. Pr: 0.4644
ENST00000309794.16	OTHER	0.001936	0.998064	
ENST00000310454.10	OTHER	0.007057	0.992943	
ENST00000311044.8	OTHER	0.001574	0.998426	
