#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000378891.9	671	0.37737	7.00872802734	1	1	coding
ENST00000378888.10	696	0.35707	7.69464111328	1	1	coding
ENST00000634054.1	214	0.40355	9.97918701172	-1	0.263803	noncoding
ENST00000288774.8	347	0.41347	10.0978393555	1	0.999991	coding
ENST00000447513.7	327	0.41347	10.0341186523	1	0.999977	coding
ENST00000507596.5	325	0.45305	10.0994262695	1	0.999996	coding
ENST00000510434.1	210	0.36595	9.70794677734	1	0.968271	coding
ENST00000508384.5	54	0.42602	9.29876708984	1	0.0542025	noncoding
ENST00000514502.1	74	0.3008	5.14056396484	1	0.0898605	noncoding
ENST00000493183.5	93	0.391	10.6436157227	1	0.209628	noncoding
ENST00000419916.8	229	0.38514	6.22564697266	1	0.999192	coding
ENST00000378424.9	232	0.37894	8.90362548828	1	0.995248	coding
ENST00000378427.6	184	0.37894	8.79632568359	1	0.951256	coding
ENST00000481683.5	57	0.36846	8.82843017578	1	0.0310385	noncoding
ENST00000476686.1	84	0.3008	7.63592529297	1	0.0591292	noncoding
ENST00000343813.10	285	0.33024	8.13323974609	1	0.998376	coding
ENST00000489498.5	189	0.32831	5.84564208984	1	0.970883	coding
ENST00000474756.1	120	0.35215	6.89373779297	1	0.424694	noncoding
ENST00000608083.5	339	0.46065	6.80426025391	1	1	coding
ENST00000361521.9	371	0.47753	6.83697509766	1	1	coding
ENST00000377842.7	330	0.45086	7.66522216797	1	0.999999	coding
ENST00000377855.6	381	0.45317	8.85467529297	1	1	coding
ENST00000377263.6	107	0.32617	8.79095458984	1	0.158297	noncoding
ENST00000400904.7	82	0.4562	5.33355712891	1	0.337351	noncoding
ENST00000377258.5	82	0.41823	5.33355712891	1	0.286145	noncoding
ENST00000377022.8	1760	0.45895	6.59478759766	1	1	coding
ENST00000478524.1	2	0.37852	5.27496337891	1	8.26345e-06	noncoding
ENST00000344008.5	1167	0.45893	8.43536376953	1	1	coding
ENST00000496432.6	1031	0.4482	8.47625732422	1	1	coding
ENST00000376692.9	212	0.44512	6.04840087891	1	0.999468	coding
ENST00000235310.7	212	0.46208	6.04840087891	1	0.999543	coding
ENST00000456915.2	277	0.43524	5.56744384766	1	0.999994	coding
ENST00000376667.7	212	0.44021	6.04840087891	1	0.999431	coding
ENST00000697274.1	176	0.41794	5.79376220703	-1	0.143671	noncoding
ENST00000415136.6	457	0.4432	6.09039306641	1	1	coding
ENST00000602624.7	440	0.43536	5.43011474609	1	1	coding
ENST00000464364.1	154	0.4512	4.78472900391	-1	0.158196	noncoding
ENST00000437367.5	99	0.34872	10.0459594727	1	0.155205	noncoding
ENST00000703051.1	133	0.33113	5.44061279297	1	0.696006	coding
ENST00000454117.2	111	0.31442	4.92376708984	1	0.450983	noncoding
ENST00000689840.1	107	0.36922	9.90557861328	1	0.26247	noncoding
ENST00000690463.2	45	0.35478	5.70880126953	1	0.016699	noncoding
ENST00000671509.2	111	0.33671	4.92376708984	1	0.5	coding
ENST00000703050.1	70	0.39188	4.44061279297	1	0.189539	noncoding
ENST00000518600.3	45	0.42524	5.70880126953	1	0.030244	noncoding
ENST00000335648.3	127	0.29328	9.34930419922	1	0.192282	noncoding
ENST00000518821.1	78	0.33431	4.68341064453	-1	0.037862	noncoding
ENST00000427796.6	27	0.35218	8.49798583984	1	0.0063875	noncoding
ENST00000686609.2	27	0.38965	8.49798583984	1	0.00750671	noncoding
ENST00000664563.3	27	0.3292	8.49798583984	1	0.00625691	noncoding
ENST00000703077.1	28	0.32751	6.49066162109	1	0.00527099	noncoding
ENST00000652963.1	28	0.42129	6.49066162109	1	0.00815383	noncoding
ENST00000447961.1	11	0.33098	5.27252197266	1	0.00269655	noncoding
ENST00000687867.1	16	0.42493	3.79937744141	1	0.0139352	noncoding
ENST00000689374.1	16	0.37337	3.79937744141	1	0.00832175	noncoding
ENST00000373921.8	644	0.47064	5.76605224609	1	1	coding
ENST00000373925.5	261	0.45937	5.69464111328	1	0.999986	coding
ENST00000373927.7	124	0.39398	5.32733154297	1	0.81271	coding
ENST00000427466.1	133	0.41644	5.54681396484	-1	0.077541	noncoding
ENST00000442118.5	246	0.4279	8.21234130859	-1	0.320988	noncoding
ENST00000456990.1	388	0.46992	5.74102783203	1	1	coding
ENST00000492877.1	164	0.31693	9.41033935547	1	0.566212	coding
ENST00000471683.6	195	0.43888	5.81634521484	1	0.998486	coding
ENST00000373824.9	162	0.39649	7.77838134766	1	0.932445	coding
ENST00000689843.1	162	0.38481	7.77838134766	1	0.912867	coding
ENST00000691050.1	80	0.41707	9.56341552734	1	0.174318	noncoding
ENST00000685312.1	200	0.42495	9.16510009766	1	0.993671	coding
ENST00000263974.4	162	0.35537	7.77838134766	1	0.837342	coding
ENST00000373510.9	442	0.3525	6.81121826172	1	1	coding
ENST00000316459.4	341	0.33082	9.05291748047	1	0.999635	coding
ENST00000431473.4	392	0.31705	6.21514892578	1	0.999998	coding
ENST00000410070.6	104	0.3927	9.42974853516	1	0.319642	noncoding
ENST00000372070.7	326	0.4408	6.32281494141	1	1	coding
ENST00000621846.4	326	0.47361	6.32281494141	1	1	coding
ENST00000434299.5	147	0.44548	5.84283447266	-1	0.10832	noncoding
ENST00000351829.9	326	0.46038	6.32281494141	1	1	coding
ENST00000471651.1	120	0.38125	5.70574951172	1	0.679798	coding
ENST00000497973.5	144	0.44233	10.3932495117	1	0.909922	coding
ENST00000473038.5	132	0.39818	10.3970336914	1	0.644585	coding
ENST00000606395.1	79	0.4527	4.74920654297	1	0.367551	noncoding
ENST00000607656.5	75	0.4361	4.77874755859	-1	0.0364086	noncoding
ENST00000429784.2	72	0.41775	5.42645263672	1	0.163801	noncoding
ENST00000635606.3	17	0.45476	5.95831298828	1	0.00509477	noncoding
ENST00000692135.1	72	0.44965	5.42645263672	1	0.196699	noncoding
ENST00000455247.2	17	0.43232	5.95831298828	1	0.00476884	noncoding
ENST00000635298.1	17	0.45297	5.95831298828	1	0.00508718	noncoding
ENST00000306052.12	964	0.36683	4.88043212891	1	1	coding
ENST00000661457.1	415	0.3828	5.71221923828	1	1	coding
ENST00000657047.1	144	0.44138	6.32037353516	1	0.945597	coding
ENST00000529670.6	87	0.46023	5.56231689453	1	0.388724	noncoding
ENST00000668071.1	499	0.40186	6.43878173828	1	1	coding
ENST00000653217.1	558	0.39814	6.26190185547	1	1	coding
ENST00000658404.1	458	0.39071	5.79132080078	1	1	coding
ENST00000354412.7	701	0.39744	4.84356689453	1	1	coding
ENST00000659993.1	889	0.34994	4.94598388672	1	1	coding
ENST00000454575.6	2130	0.49491	6.36932373047	1	1	coding
ENST00000340370.10	2110	0.50731	6.34124755859	1	1	coding
ENST00000637255.1	1188	0.48146	6.34661865234	1	1	coding
ENST00000635123.1	2099	0.48315	6.36883544922	1	1	coding
ENST00000404627.3	633	0.49239	5.84027099609	1	1	coding
ENST00000464312.1	166	0.39983	10.2223510742	-1	0.209425	noncoding
ENST00000636635.1	23	0.40182	9.30023193359	1	0.00857986	noncoding
ENST00000371059.7	959	0.43855	8.03570556641	1	1	coding
ENST00000371060.7	897	0.32143	7.44525146484	1	1	coding
ENST00000616738.4	897	0.35505	7.44525146484	1	1	coding
ENST00000369039.9	1098	0.31879	8.78619384766	1	1	coding
ENST00000369041.9	878	0.31929	8.74700927734	1	1	coding
ENST00000271643.9	1075	0.32044	8.78619384766	1	1	coding
ENST00000483335.1	155	0.27466	11.5134887695	1	0.179502	noncoding
ENST00000369038.6	1075	0.33331	8.78619384766	1	1	coding
ENST00000489159.1	238	0.35957	8.56756591797	1	0.994071	coding
ENST00000676716.1	289	0.46832	8.93316650391	1	0.99999	coding
ENST00000271651.8	330	0.45154	8.71795654297	1	0.999999	coding
ENST00000676970.1	334	0.45154	8.68194580078	1	0.999999	coding
ENST00000679260.1	257	0.45483	9.06536865234	1	0.9999	coding
ENST00000676824.1	330	0.44016	8.71795654297	1	0.999998	coding
ENST00000677611.1	241	0.44752	8.89654541016	1	0.999704	coding
ENST00000678725.1	291	0.38465	8.83697509766	1	0.99981	coding
ENST00000480670.2	256	0.38572	8.65826416016	1	0.999048	coding
ENST00000677330.1	256	0.3693	8.65826416016	1	0.998193	coding
ENST00000474997.1	28	0.37863	5.82330322266	-1	0.0176439	noncoding
ENST00000368947.9	346	0.47108	5.53387451172	1	1	coding
ENST00000462520.5	178	0.47492	6.11883544922	-1	0.188264	noncoding
ENST00000368918.8	449	0.31712	5.14801025391	1	1	coding
ENST00000489549.5	252	0.46393	5.21380615234	-1	0.525324	coding
ENST00000486076.5	223	0.46543	6.49713134766	-1	0.313543	noncoding
ENST00000368916.1	411	0.44056	5.09857177734	1	1	coding
ENST00000467551.1	114	0.46995	4.20758056641	1	0.898409	coding
ENST00000440685.7	99	0.46157	5.90240478516	1	0.555514	coding
ENST00000476133.6	99	0.44039	5.90240478516	1	0.53129	coding
ENST00000339556.8	99	0.45422	5.90240478516	1	0.551355	coding
