"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","codingPotentialValue","codingPotential","domain_identified","idr_identified","signal_peptide_identified","sub_cell_location","IR","switchConsequencesGene"
"isoComp_00000256","geneComp_00000035","ENST00000681511.1","AASS","normal","tumor","AASS","protein_coding","nonsense_mediated_decay",7.32693988629631,8.18191882469314,6.47196094789947,0.42539790398424,0.366620740851351,-0.337771090638916,NA,1.12793573508969,0.862705483480541,1.39316598669884,0.0983339385212693,0.121692982824585,0.685118914614933,NA,0.157090625,0.10200625,0.212175,0.11016875,0.0130412109933762,0.0130412109933762,TRUE,0.999962,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00001850","geneComp_00000206","ENST00000377855.6","ACOT7","normal","tumor","ACOT7","protein_coding","protein_coding",6.8465884905889,5.51885478706916,8.17432219410865,0.551743825275918,0.559708741599172,0.565882260672382,NA,1.50419721505655,0.514809976213826,2.49358445389927,0.136469167619868,0.313185706715458,2.25412807315682,NA,0.19149375,0.08680625,0.29618125,0.209375,0.00635202768205752,0.00635202768205752,FALSE,1,TRUE,"yes","yes","no","Mitochondrion",0,TRUE
"isoComp_00001853","geneComp_00000206","ENST00000608083.5","ACOT7","normal","tumor","ACOT7","protein_coding","protein_coding",6.8465884905889,5.51885478706916,8.17432219410865,0.551743825275918,0.559708741599172,0.565882260672382,NA,0.955393448347018,1.3294146443677,0.58137225232634,0.202125767688768,0.19737591151471,-1.17946418910531,NA,0.1697,0.255,0.0844,-0.1706,0.0108864007910732,0.00635202768205752,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Nucleus",0,TRUE
"isoComp_00001875","geneComp_00000209","ENST00000293217.10","ACOX1","normal","tumor","ACOX1","protein_coding","protein_coding",16.7343866694087,15.717538211637,17.7512351271804,0.460743229553018,0.523476453638941,0.175439043741503,NA,10.7423687385836,8.56450668480841,12.9202307923588,0.311030322487056,0.4661824155128,0.592622449584634,NA,0.637134375,0.54618125,0.7280875,0.18190625,0.000162611958317956,6.26441350429159e-15,FALSE,1,TRUE,"yes","no","no","Peroxisome",0,FALSE
"isoComp_00001876","geneComp_00000209","ENST00000301608.9","ACOX1","normal","tumor","ACOX1","protein_coding","protein_coding",16.7343866694087,15.717538211637,17.7512351271804,0.460743229553018,0.523476453638941,0.175439043741503,NA,3.37082587657862,4.23805613001421,2.50359562314304,0.1498564290774,0.101676544447081,-0.757050255129345,NA,0.206315625,0.2705625,0.14206875,-0.12849375,6.26441350429159e-15,6.26441350429159e-15,FALSE,1,TRUE,"yes","no","no","Peroxisome",0,FALSE
"isoComp_00002681","geneComp_00000317","ENST00000389651.8","ADAL","normal","tumor","ADAL","protein_coding","protein_coding",14.7687331930034,14.1103986761012,15.4270677099056,1.34073841731862,1.01945733011903,0.12861791460946,NA,5.33285978057231,6.32164850761375,4.34407105353087,0.853164618230601,0.477628404324975,-0.540216217677088,NA,0.349578125,0.42995625,0.2692,-0.16075625,0.000541929138496018,0.000541929138496018,FALSE,0.999988,TRUE,"yes","no","no","Cytoplasm,Nucleus",0,TRUE
"isoComp_00002683","geneComp_00000317","ENST00000562188.7","ADAL","normal","tumor","ADAL","protein_coding","protein_coding",14.7687331930034,14.1103986761012,15.4270677099056,1.34073841731862,1.01945733011903,0.12861791460946,NA,4.58359406747279,3.15507879338119,6.01210934156438,0.222787428805042,0.364373719749474,0.928027487443587,NA,0.316365625,0.23410625,0.398625,0.16451875,0.000724894385392865,0.000541929138496018,FALSE,0.999996,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00003009","geneComp_00000370","ENST00000271643.9","ADAMTSL4","normal","tumor","ADAMTSL4","protein_coding","protein_coding",2.52399506132624,2.92869893375162,2.11929118890087,0.84100699628715,0.360382180829575,-0.464804306677063,NA,1.1917253402856,1.50551559295729,0.877935087613921,0.338552279625689,0.161823443353544,-0.771282578415737,NA,0.502967741935484,0.58784375,0.412433333333333,-0.175410416666667,0.0385839985115888,0.0385839985115888,FALSE,1,TRUE,"yes","yes","yes","Extracellular",0,TRUE
"isoComp_00003141","geneComp_00000388","ENST00000435541.2","ADCY10P1","normal","tumor","ADCY10P1","lncRNA","lncRNA",2.18656324122054,3.30595075858521,1.06717572385587,0.201853522194842,0.124916483676506,-1.62216896164723,NA,1.06110254294583,1.83607887338588,0.286126212505784,0.155876272040025,0.0854439928363776,-2.64018008739716,NA,0.3752125,0.5418125,0.2086125,-0.3332,0.0297257954231678,0.00320071260794639,NA,0.0229376,FALSE,NA,NA,NA,NA,0,TRUE
"isoComp_00003143","geneComp_00000388","ENST00000567255.2","ADCY10P1","normal","tumor","ADCY10P1","lncRNA","lncRNA",2.18656324122054,3.30595075858521,1.06717572385587,0.201853522194842,0.124916483676506,-1.62216896164723,NA,0.874136892706708,1.1156574087195,0.632616376693912,0.0588027105752843,0.0471245524321291,-0.808738160645639,NA,0.49419375,0.34655,0.6418375,0.2952875,0.00320071260794639,0.00320071260794639,NA,0.999958,TRUE,NA,NA,NA,NA,0,TRUE
