# SignalP-5.0	Organism: Eukarya	Timestamp: 20260617193323
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000000442.11	OTHER	0.002578	0.997422	
ENST00000002125.9	OTHER	0.024782	0.975218	
ENST00000004531.14	OTHER	0.000926	0.999074	
ENST00000011684.11	OTHER	0.001489	0.998511	
ENST00000013807.9	OTHER	0.001468	0.998532	
ENST00000159111.9	OTHER	0.000829	0.999171	
ENST00000161559.11	SP(Sec/SPI)	0.973301	0.026699	CS pos: 34-35. TTA-QL. Pr: 0.9220
ENST00000166139.9	SP(Sec/SPI)	0.962145	0.037855	CS pos: 26-27. VSS-MG. Pr: 0.3281
ENST00000175506.8	OTHER	0.010040	0.989960	
ENST00000215917.11	OTHER	0.003820	0.996180	
ENST00000215941.9	OTHER	0.002959	0.997041	
ENST00000216061.9	OTHER	0.000505	0.999495	
ENST00000216471.5	OTHER	0.000254	0.999746	
ENST00000216968.5	SP(Sec/SPI)	0.985306	0.014694	CS pos: 17-18. AFC-SQ. Pr: 0.6452
ENST00000217109.9	OTHER	0.004033	0.995967	
ENST00000219097.7	OTHER	0.001343	0.998657	
ENST00000222122.10	OTHER	0.001488	0.998512	
ENST00000222256.9	OTHER	0.000373	0.999627	
ENST00000222305.8	OTHER	0.002118	0.997882	
ENST00000222803.10	SP(Sec/SPI)	0.983970	0.016030	CS pos: 20-21. IGA-LI. Pr: 0.7309
ENST00000222990.8	OTHER	0.006191	0.993809	
ENST00000223190.8	OTHER	0.000921	0.999079	
ENST00000223210.5	OTHER	0.000475	0.999525	
ENST00000224721.12	SP(Sec/SPI)	0.986128	0.013872	CS pos: 23-24. CWG-QV. Pr: 0.9248
ENST00000225916.10	OTHER	0.005792	0.994208	
ENST00000227135.7	OTHER	0.000618	0.999382	
ENST00000227349.7	OTHER	0.000406	0.999594	
ENST00000228606.9	OTHER	0.001513	0.998487	
ENST00000229583.9	OTHER	0.086814	0.913186	
ENST00000230882.9	SP(Sec/SPI)	0.994963	0.005037	CS pos: 18-19. SDA-FS. Pr: 0.7813
ENST00000230901.9	OTHER	0.001077	0.998923	
ENST00000231198.12	OTHER	0.001385	0.998615	
ENST00000231338.7	SP(Sec/SPI)	0.998685	0.001315	CS pos: 22-23. CLC-QD. Pr: 0.9392
ENST00000231751.9	SP(Sec/SPI)	0.997125	0.002875	CS pos: 19-20. CLA-GR. Pr: 0.8676
ENST00000232458.9	OTHER	0.000376	0.999624	
ENST00000232974.11	OTHER	0.000474	0.999526	
ENST00000235310.7	OTHER	0.000910	0.999090	
ENST00000238892.4	OTHER	0.003674	0.996326	
ENST00000238936.8	OTHER	0.012076	0.987924	
ENST00000239614.8	OTHER	0.001727	0.998273	
ENST00000242591.10	OTHER	0.000317	0.999683	
ENST00000242729.7	OTHER	0.005702	0.994298	
ENST00000243050.5	OTHER	0.003353	0.996647	
ENST00000244020.5	OTHER	0.000687	0.999313	
ENST00000244751.7	OTHER	0.000554	0.999446	
ENST00000245451.9	SP(Sec/SPI)	0.984784	0.015216	CS pos: 24-25. SHA-SL. Pr: 0.8540
ENST00000246174.6	OTHER	0.002326	0.997674	
ENST00000248114.7	OTHER	0.000742	0.999258	
ENST00000250930.7	OTHER	0.001410	0.998590	
ENST00000251527.10	OTHER	0.002796	0.997204	
ENST00000251993.11	OTHER	0.003475	0.996525	
ENST00000252674.9	OTHER	0.000977	0.999023	
ENST00000254722.9	SP(Sec/SPI)	0.998541	0.001459	CS pos: 19-20. SSC-QN. Pr: 0.7586
ENST00000255189.8	OTHER	0.019695	0.980305	
ENST00000256996.9	OTHER	0.001391	0.998609	
ENST00000257860.9	OTHER	0.000395	0.999605	
ENST00000258457.7	OTHER	0.000652	0.999348	
ENST00000258781.11	OTHER	0.000210	0.999790	
ENST00000259698.9	OTHER	0.001199	0.998801	
ENST00000260061.9	SP(Sec/SPI)	0.997585	0.002415	CS pos: 17-18. GLA-AQ. Pr: 0.5271
ENST00000260264.8	OTHER	0.001579	0.998421	
ENST00000260598.10	OTHER	0.092494	0.907506	
ENST00000260599.11	OTHER	0.092494	0.907506	
ENST00000261458.8	OTHER	0.040262	0.959738	
ENST00000261741.10	OTHER	0.000659	0.999341	
ENST00000261755.9	OTHER	0.000918	0.999082	
ENST00000262722.11	SP(Sec/SPI)	0.999060	0.000940	CS pos: 29-30. VDA-DV. Pr: 0.9508
ENST00000262765.10	OTHER	0.000930	0.999070	
ENST00000262919.10	OTHER	0.089563	0.910437	
ENST00000263056.6	OTHER	0.000378	0.999622	
ENST00000263688.4	SP(Sec/SPI)	0.787657	0.212343	CS pos: 26-27. SWR-VC. Pr: 0.3796
ENST00000263974.4	OTHER	0.000819	0.999181	
ENST00000263991.9	OTHER	0.000525	0.999475	
ENST00000264344.10	OTHER	0.001982	0.998018	
ENST00000264644.10	OTHER	0.034275	0.965725	
ENST00000264709.7	OTHER	0.001334	0.998666	
ENST00000264904.8	OTHER	0.001977	0.998023	
ENST00000264972.10	OTHER	0.005065	0.994935	
ENST00000265382.8	OTHER	0.001505	0.998495	
ENST00000265800.9	OTHER	0.000749	0.999251	
ENST00000265997.5	OTHER	0.000721	0.999279	
ENST00000266041.9	SP(Sec/SPI)	0.981959	0.018041	CS pos: 28-29. TTA-EK. Pr: 0.8365
ENST00000266304.9	OTHER	0.000753	0.999247	
ENST00000266736.7	OTHER	0.000720	0.999280	
ENST00000267101.8	SP(Sec/SPI)	0.948293	0.051707	CS pos: 19-20. ARG-SE. Pr: 0.7467
ENST00000267843.9	SP(Sec/SPI)	0.669197	0.330803	CS pos: 31-32. SLA-CN. Pr: 0.3930
ENST00000267996.11	OTHER	0.000170	0.999830	
ENST00000269095.9	OTHER	0.000355	0.999645	
ENST00000269318.9	OTHER	0.000740	0.999260	
ENST00000270139.8	SP(Sec/SPI)	0.768211	0.231789	CS pos: 22-23. VLS-AA. Pr: 0.2416
ENST00000271450.12	SP(Sec/SPI)	0.933193	0.066807	CS pos: 35-36. SQA-AA. Pr: 0.5204
ENST00000271651.8	SP(Sec/SPI)	0.716143	0.283857	CS pos: 15-16. SFA-LY. Pr: 0.5036
ENST00000273691.7	SP(Sec/SPI)	0.851922	0.148078	CS pos: 23-24. CLS-LL. Pr: 0.5559
ENST00000275418.13	OTHER	0.002796	0.997204	
ENST00000277900.12	OTHER	0.000222	0.999778	
ENST00000278064.7	OTHER	0.003768	0.996232	
ENST00000278070.7	OTHER	0.003756	0.996244	
ENST00000278198.2	SP(Sec/SPI)	0.634583	0.365417	CS pos: 44-45. VRA-QT. Pr: 0.5712
ENST00000278224.13	OTHER	0.001939	0.998061	
ENST00000278772.9	OTHER	0.003640	0.996360	
ENST00000278833.4	OTHER	0.015860	0.984140	
ENST00000278916.8	OTHER	0.000817	0.999183	
ENST00000279804.3	OTHER	0.000801	0.999199	
ENST00000281419.8	OTHER	0.000489	0.999511	
ENST00000282296.10	OTHER	0.002558	0.997442	
ENST00000283297.5	OTHER	0.001196	0.998804	
ENST00000284292.11	OTHER	0.001584	0.998416	
ENST00000284548.16	OTHER	0.001993	0.998007	
ENST00000285908.5	OTHER	0.000399	0.999601	
ENST00000286918.9	OTHER	0.001713	0.998287	
ENST00000287713.7	OTHER	0.026295	0.973705	
ENST00000288398.10	OTHER	0.000132	0.999868	
ENST00000288840.10	OTHER	0.001743	0.998257	
ENST00000289577.9	SP(Sec/SPI)	0.955163	0.044837	CS pos: 29-30. AQG-LY. Pr: 0.8996
ENST00000289989.10	OTHER	0.005012	0.994988	
ENST00000290536.9	OTHER	0.016528	0.983472	
ENST00000290894.12	OTHER	0.001306	0.998694	
ENST00000291547.10	OTHER	0.003682	0.996318	
ENST00000291565.9	OTHER	0.000641	0.999359	
ENST00000291825.11	OTHER	0.000805	0.999195	
ENST00000292433.4	OTHER	0.000447	0.999553	
ENST00000292524.6	OTHER	0.028327	0.971673	
ENST00000293525.5	OTHER	0.004840	0.995160	
ENST00000294066.7	OTHER	0.000986	0.999014	
ENST00000294868.8	OTHER	0.001500	0.998500	
