# SignalP-6.0	Organism: Eukarya	Timestamp: 20260529221344
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ENST00000004531.14	OTHER	1.000000	0.000000	
ENST00000007264.7	OTHER	1.000000	0.000000	
ENST00000008180.13	OTHER	1.000000	0.000000	
ENST00000012134.7	OTHER	1.000000	0.000007	
ENST00000013807.9	OTHER	1.000000	0.000000	
ENST00000043402.8	SP	0.000246	0.999728	CS pos: 26-27. Pr: 0.9264
ENST00000072516.7	SP	0.004510	0.995470	CS pos: 20-21. Pr: 0.8945
ENST00000160827.9	OTHER	1.000000	0.000000	
ENST00000161006.8	SP	0.033211	0.966764	CS pos: 32-33. Pr: 0.9265
ENST00000171111.10	OTHER	1.000000	0.000006	
ENST00000175506.8	OTHER	1.000000	0.000005	
ENST00000187879.12	OTHER	1.000000	0.000000	
ENST00000202917.10	OTHER	1.000000	0.000000	
ENST00000211921.11	OTHER	0.999911	0.000091	
ENST00000215375.7	OTHER	1.000000	0.000012	
ENST00000215941.9	OTHER	1.000000	0.000003	
ENST00000215956.10	OTHER	1.000000	0.000000	
ENST00000215957.10	OTHER	1.000000	0.000000	
ENST00000216061.9	OTHER	1.000000	0.000000	
ENST00000216471.5	OTHER	1.000000	0.000000	
ENST00000217233.9	OTHER	1.000000	0.000000	
ENST00000218516.4	SP	0.000217	0.999753	CS pos: 31-32. Pr: 0.9595
ENST00000219097.7	OTHER	1.000000	0.000000	
ENST00000219315.9	OTHER	1.000000	0.000000	
ENST00000219481.10	OTHER	1.000000	0.000000	
ENST00000220584.9	OTHER	1.000000	0.000000	
ENST00000221466.10	SP	0.000251	0.999731	CS pos: 23-24. Pr: 0.9795
ENST00000221922.11	OTHER	1.000000	0.000000	
ENST00000222122.10	OTHER	1.000000	0.000000	
ENST00000222305.8	OTHER	1.000000	0.000000	
ENST00000225308.12	OTHER	0.999953	0.000068	
ENST00000226253.9	OTHER	1.000000	0.000001	
ENST00000228705.7	OTHER	0.999998	0.000051	
ENST00000229854.12	OTHER	1.000000	0.000001	
ENST00000230771.9	OTHER	1.000000	0.000001	
ENST00000230901.9	OTHER	1.000000	0.000000	
ENST00000231198.12	OTHER	1.000000	0.000000	
ENST00000233330.6	OTHER	1.000000	0.000000	
ENST00000234256.4	OTHER	0.999932	0.000070	
ENST00000235310.7	OTHER	1.000000	0.000000	
ENST00000236671.7	SP	0.000274	0.999690	CS pos: 20-21. Pr: 0.9747
ENST00000237380.12	OTHER	1.000000	0.000000	
